"package","status"
"base64enc","SUCCESS"
"car","SUCCESS"
"doBy","SUCCESS"
"e1071","FAILED"
"forecast","SUCCESS"
"fs","SUCCESS"
"gargle","SUCCESS"
"glmnet","SUCCESS"
"googledrive","SUCCESS"
"googlesheets4","SUCCESS"
"haven","SUCCESS"
"htmlTable","FAILED"
"jomo","SUCCESS"
"knitr","SUCCESS"
"later","SUCCESS"
"lme4","SUCCESS"
"minqa","SUCCESS"
"mirai","SUCCESS"
"mitml","SUCCESS"
"mlr3","SUCCESS"
"mlr3learners","SUCCESS"
"mlr3pipelines","SUCCESS"
"mlr3tuning","SUCCESS"
"pbkrtest","SUCCESS"
"plyr","SUCCESS"
"promises","SUCCESS"
"proxy","SUCCESS"
"ranger","SUCCESS"
"reprex","SUCCESS"
"reshape2","SUCCESS"
"rmarkdown","SUCCESS"
